[09:52:48]  Ini.Free
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryScheduleDepartTime.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryScheduleDepartTime.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySchedulemerge.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySchedulemerge.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryScheduleMiss.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryScheduleMiss.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySchedulePrice.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySchedulePrice.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryScheduleRunSituation.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryScheduleRunSituation.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySellBalanceSummary.bpl文件下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySellerDailyReport.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySellerDailyReport.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQuerySendGoodsdGetails.bpl文件下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryTicketturnoverSeller.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryTicketturnoverSeller.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleLate.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleLate.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleLicense.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleLicense.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleLost.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleLost.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleReport.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeQueryVehicleReport.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRegister.bat文件下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRole.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRole.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRoute.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRoute.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRouteChecktime.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRouteChecktime.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRoutePrice.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeRoutePrice.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSalerdayReport.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSalerdayReport.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSchedule.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSchedule.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeScheduleCycle.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeScheduleCycle.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSchedulediscount.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSchedulediscount.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSchedulestationcontrol.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSchedulestationcontrol.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeschedulestatus.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeschedulestatus.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSecuritycheckplan.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSecuritycheckplan.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSelfDepartinvoices.bpl包下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSelfDepartinvoices.bpl.bak包重命名成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSellerDepartinvoices.bpl文件下载成功...
[09:55:39] D:\newgit\nova\5.041_fix\client\nova\BIN\AutoUpdate.exeSellerTaskReport.bpl文件下载成功...
